STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140506,-9999,-9999,0,-9999,-9999,211,111,172
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140507,-9999,-9999,0,-9999,-9999,217,111,183
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140508,-9999,-9999,0,-9999,-9999,244,117,194
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140509,-9999,-9999,0,-9999,-9999,244,139,217
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140510,-9999,-9999,0,-9999,-9999,250,128,217
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140511,-9999,-9999,0,-9999,-9999,294,111,222
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140512,-9999,-9999,0,-9999,-9999,350,156,306
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140513,-9999,-9999,0,-9999,-9999,356,239,328
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140514,-9999,-9999,0,-9999,-9999,389,228,350
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140515,-9999,-9999,0,-9999,-9999,400,222,378
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140516,-9999,-9999,0,-9999,-9999,389,189,356
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140517,-9999,-9999,0,-9999,-9999,372,183,317
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140518,-9999,-9999,0,-9999,-9999,317,100,183
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140519,-9999,-9999,0,-9999,-9999,311,139,211
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140520,-9999,-9999,0,-9999,-9999,217,128,194
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140521,-9999,-9999,0,-9999,-9999,250,133,211
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140522,-9999,-9999,0,-9999,-9999,228,139,167
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140523,-9999,-9999,0,-9999,-9999,239,144,217
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140524,-9999,-9999,0,-9999,-9999,239,156,189
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140525,-9999,-9999,0,-9999,-9999,283,150,217
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140526,-9999,-9999,0,-9999,-9999,294,144,222
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140527,-9999,-9999,0,-9999,-9999,294,150,261
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140528,-9999,-9999,0,-9999,-9999,289,161,244
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140529,-9999,-9999,0,-9999,-9999,278,150,239
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140530,-9999,-9999,0,-9999,-9999,300,122,272
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140531,-9999,-9999,0,-9999,-9999,300,172,272
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140601,-9999,-9999,0,-9999,-9999,294,117,206
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140602,-9999,-9999,0,-9999,-9999,278,139,239
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140603,-9999,-9999,0,-9999,-9999,311,122,278
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140604,-9999,-9999,0,-9999,-9999,300,167,267
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140605,-9999,-9999,0,-9999,-9999,289,128,244
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140606,-9999,-9999,0,-9999,-9999,272,178,239
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140607,-9999,-9999,0,-9999,-9999,267,183,244
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140608,-9999,-9999,0,-9999,-9999,289,133,233
