DATE,2013-PRECIPITATION,2013-TMAX,2013-TMIN
GHCND:USC00046154|0314,0,306,72
GHCND:USC00046154|0315,0,244,72
GHCND:USC00046154|0316,0,233,50
GHCND:USC00046154|0317,0,200,44
GHCND:USC00046154|0318,0,211,22
GHCND:USC00046154|0319,0,239,50
GHCND:USC00046154|0320,0,211,44
GHCND:USC00046154|0321,0,178,44
GHCND:USC00046154|0322,0,178,33
GHCND:USC00046154|0323,0,206,-11
GHCND:USC00046154|0324,0,228,6
GHCND:USC00046154|0325,0,244,33
GHCND:USC00046154|0326,0,233,28
GHCND:USC00046154|0327,0,217,44
GHCND:USC00046154|0328,0,206,44
GHCND:USC00046154|0329,0,267,39
GHCND:USC00046154|0330,0,261,50
GHCND:USC00046154|0331,0,178,89
GHCND:USC00046154|0401,0,194,28
GHCND:USC00046154|0402,0,183,50
GHCND:USC00046154|0403,0,306,39
GHCND:USC00046154|0404,0,217,78
GHCND:USC00046154|0405,0,200,122
GHCND:USC00046154|0406,0,200,72
GHCND:USC00046154|0407,0,206,106
GHCND:USC00046154|0408,0,156,44
GHCND:USC00046154|0409,0,161,11
GHCND:USC00046154|0410,0,244,22
GHCND:USC00046154|0411,0,239,56
GHCND:USC00046154|0412,0,256,56
GHCND:USC00046154|0413,0,189,78
GHCND:USC00046154|0414,0,200,78
GHCND:USC00046154|0415,0,183,67
GHCND:USC00046154|0416,0,161,17
GHCND:USC00046154|0417,0,167,22
GHCND:USC00046154|0418,0,228,28
GHCND:USC00046154|0419,0,256,28
GHCND:USC00046154|0420,0,272,50
GHCND:USC00046154|0421,0,278,72
GHCND:USC00046154|0422,0,294,83
GHCND:USC00046154|0423,0,283,78
GHCND:USC00046154|0424,0,228,78
GHCND:USC00046154|0425,0,244,94
GHCND:USC00046154|0426,0,272,72
GHCND:USC00046154|0427,0,300,83
GHCND:USC00046154|0428,0,317,106
GHCND:USC00046154|0429,0,306,94
GHCND:USC00046154|0430,0,311,94
GHCND:USC00046154|0501,0,294,100
GHCND:USC00046154|0502,0,300,67
GHCND:USC00046154|0503,0,306,78
GHCND:USC00046154|0504,0,306,100
GHCND:USC00046154|0505,0,217,56
GHCND:USC00046154|0506,0,211,106
GHCND:USC00046154|0507,0,200,83
GHCND:USC00046154|0508,0,200,72
GHCND:USC00046154|0509,0,239,72
GHCND:USC00046154|0510,0,283,78
GHCND:USC00046154|0511,0,300,111
GHCND:USC00046154|0512,0,350,144
GHCND:USC00046154|0513,0,339,144
GHCND:USC00046154|0514,0,289,94
GHCND:USC00046154|0515,0,289,89
GHCND:USC00046154|0516,0,311,78
GHCND:USC00046154|0517,0,228,94
GHCND:USC00046154|0518,0,239,67
GHCND:USC00046154|0519,0,256,83
GHCND:USC00046154|0520,0,333,89
GHCND:USC00046154|0521,0,311,111
GHCND:USC00046154|0522,0,211,78
GHCND:USC00046154|0523,0,239,33
GHCND:USC00046154|0524,0,250,50
GHCND:USC00046154|0525,0,256,50
GHCND:USC00046154|0526,0,250,56
GHCND:USC00046154|0527,0,233,94
GHCND:USC00046154|0528,0,244,117
GHCND:USC00046154|0529,0,272,106
GHCND:USC00046154|0530,0,289,106
GHCND:USC00046154|0531,0,294,106
GHCND:USC00046154|0601,0,344,117
GHCND:USC00046154|0602,0,356,150
GHCND:USC00046154|0603,0,294,94
GHCND:USC00046154|0604,0,306,100
GHCND:USC00046154|0605,0,322,111
GHCND:USC00046154|0606,0,344,133
GHCND:USC00046154|0607,0,356,144
GHCND:USC00046154|0608,0,389,167
GHCND:USC00046154|0609,0,344,133
GHCND:USC00046154|0610,0,294,117
GHCND:USC00046154|0611,0,311,122
GHCND:USC00046154|0612,0,328,111
GHCND:USC00046154|0613,0,289,111
GHCND:USC00046154|0614,0,300,89
GHCND:USC00046154|0615,0,306,94
GHCND:USC00046154|0616,0,306,94
GHCND:USC00046154|0617,0,311,128
GHCND:USC00046154|0618,0,283,133
GHCND:USC00046154|0619,0,250,100
GHCND:USC00046154|0620,0,289,94
GHCND:USC00046154|0621,0,289,106
GHCND:USC00046154|0622,0,328,100
GHCND:USC00046154|0623,0,294,117
GHCND:USC00046154|0624,0,256,100
GHCND:USC00046154|0625,0,311,122
GHCND:USC00046154|0626,0,328,150
GHCND:USC00046154|0627,0,350,172
GHCND:USC00046154|0628,0,367,172
GHCND:USC00046154|0629,0,378,183
GHCND:USC00046154|0630,0,389,206
GHCND:USC00046154|0701,0,389,206
GHCND:USC00046154|0702,0,394,200
GHCND:USC00046154|0703,0,394,194
GHCND:USC00046154|0704,0,394,200
GHCND:USC00046154|0705,0,372,189
GHCND:USC00046154|0706,0,350,144
GHCND:USC00046154|0707,0,372,150
GHCND:USC00046154|0708,0,372,161
GHCND:USC00046154|0709,0,372,156
GHCND:USC00046154|0710,0,367,178
GHCND:USC00046154|0711,0,361,156
GHCND:USC00046154|0712,0,367,150
GHCND:USC00046154|0713,0,367,150
GHCND:USC00046154|0714,0,356,144
GHCND:USC00046154|0715,0,367,150
GHCND:USC00046154|0716,0,350,150
GHCND:USC00046154|0717,0,344,128
GHCND:USC00046154|0718,0,333,117
GHCND:USC00046154|0719,0,367,128
GHCND:USC00046154|0720,0,378,167
GHCND:USC00046154|0721,0,372,156
GHCND:USC00046154|0722,0,344,189
GHCND:USC00046154|0723,0,356,183
GHCND:USC00046154|0724,0,344,167
GHCND:USC00046154|0725,0,339,161
GHCND:USC00046154|0726,0,339,156
GHCND:USC00046154|0727,0,350,167
GHCND:USC00046154|0728,0,383,167
GHCND:USC00046154|0729,0,356,156
GHCND:USC00046154|0730,0,339,128
GHCND:USC00046154|0731,0,333,122
GHCND:USC00046154|0801,0,328,111
GHCND:USC00046154|0802,0,333,117
GHCND:USC00046154|0803,0,339,111
GHCND:USC00046154|0804,0,339,106
GHCND:USC00046154|0805,0,333,133
GHCND:USC00046154|0806,0,333,133
GHCND:USC00046154|0807,0,328,111
GHCND:USC00046154|0808,0,289,106
GHCND:USC00046154|0809,0,306,106
GHCND:USC00046154|0810,0,311,106
GHCND:USC00046154|0811,0,322,106
GHCND:USC00046154|0812,0,333,122
GHCND:USC00046154|0813,0,344,128
GHCND:USC00046154|0814,0,344,156
GHCND:USC00046154|0815,0,356,144
GHCND:USC00046154|0816,0,356,167
GHCND:USC00046154|0817,0,350,172
GHCND:USC00046154|0818,0,361,161
GHCND:USC00046154|0819,0,367,167
GHCND:USC00046154|0820,0,383,133
GHCND:USC00046154|0821,0,372,128
GHCND:USC00046154|0822,0,361,122
GHCND:USC00046154|0823,0,317,128
GHCND:USC00046154|0824,0,322,139
GHCND:USC00046154|0825,0,317,133
GHCND:USC00046154|0826,0,311,117
GHCND:USC00046154|0827,0,333,167
GHCND:USC00046154|0828,0,317,156
GHCND:USC00046154|0829,0,328,167
GHCND:USC00046154|0830,0,344,161
GHCND:USC00046154|0831,0,350,144
GHCND:USC00046154|0901,0,328,172
GHCND:USC00046154|0902,0,333,178
GHCND:USC00046154|0903,0,317,189
GHCND:USC00046154|0904,0,322,172
GHCND:USC00046154|0905,0,328,167
GHCND:USC00046154|0906,0,333,156
GHCND:USC00046154|0907,0,356,144
GHCND:USC00046154|0908,0,344,156
GHCND:USC00046154|0909,0,344,156
GHCND:USC00046154|0910,0,350,111
GHCND:USC00046154|0911,0,344,117
GHCND:USC00046154|0912,0,350,117
GHCND:USC00046154|0913,0,356,106
GHCND:USC00046154|0914,0,361,111
GHCND:USC00046154|0915,0,361,117
GHCND:USC00046154|0916,0,306,117
GHCND:USC00046154|0917,0,300,106
GHCND:USC00046154|0918,0,306,111
GHCND:USC00046154|0919,0,350,89
GHCND:USC00046154|0920,0,250,78
GHCND:USC00046154|0921,0,244,61
GHCND:USC00046154|0922,0,311,83
GHCND:USC00046154|0923,0,306,106
GHCND:USC00046154|0924,0,250,83
GHCND:USC00046154|0925,0,200,28
GHCND:USC00046154|0926,0,272,28
GHCND:USC00046154|0927,0,317,61
GHCND:USC00046154|0928,0,328,100
GHCND:USC00046154|0929,0,256,100
GHCND:USC00046154|0930,0,289,106
GHCND:USC00046154|1001,0,283,83
GHCND:USC00046154|1002,0,256,50
GHCND:USC00046154|1003,0,256,28
GHCND:USC00046154|1004,0,278,6
GHCND:USC00046154|1005,0,300,6
GHCND:USC00046154|1006,0,322,6
GHCND:USC00046154|1007,0,317,28
GHCND:USC00046154|1008,0,267,50
GHCND:USC00046154|1009,0,183,6
GHCND:USC00046154|1010,0,206,44
GHCND:USC00046154|1011,0,228,22
GHCND:USC00046154|1012,0,244,22
GHCND:USC00046154|1013,0,222,28
GHCND:USC00046154|1014,0,233,39
GHCND:USC00046154|1015,0,250,33
GHCND:USC00046154|1016,0,261,28
GHCND:USC00046154|1017,0,267,33
GHCND:USC00046154|1018,0,294,39
GHCND:USC00046154|1019,0,311,39
GHCND:USC00046154|1020,0,278,28
GHCND:USC00046154|1021,0,294,28
GHCND:USC00046154|1022,0,289,50
GHCND:USC00046154|1023,0,294,39
GHCND:USC00046154|1024,0,278,44
GHCND:USC00046154|1025,0,272,17
GHCND:USC00046154|1026,0,300,33
GHCND:USC00046154|1027,0,278,50
GHCND:USC00046154|1028,0,117,56
GHCND:USC00046154|1029,0,139,17
GHCND:USC00046154|1030,0,183,0
GHCND:USC00046154|1031,0,217,0
GHCND:USC00046154|1101,0,244,-6
GHCND:USC00046154|1102,0,261,0
GHCND:USC00046154|1103,0,167,22
GHCND:USC00046154|1104,0,178,6
GHCND:USC00046154|1105,0,178,0
GHCND:USC00046154|1106,0,244,22
GHCND:USC00046154|1107,0,250,44
GHCND:USC00046154|1108,0,239,33
GHCND:USC00046154|1109,0,256,44
GHCND:USC00046154|1110,0,278,39
GHCND:USC00046154|1111,0,256,33
GHCND:USC00046154|1112,0,239,50
GHCND:USC00046154|1113,0,211,50
GHCND:USC00046154|1114,0,244,44
GHCND:USC00046154|1115,0,161,11
GHCND:USC00046154|1116,0,178,17
GHCND:USC00046154|1117,0,178,17
GHCND:USC00046154|1118,0,183,22
GHCND:USC00046154|1119,0,167,28
GHCND:USC00046154|1120,13,178,83
GHCND:USC00046154|1121,3,133,50
GHCND:USC00046154|1122,0,111,33
